order	threshold	bpc	rt_pct	bin_mb	json_mb	contexts	train_s
2	1	4.3852	100.0	0.45	0.51	10883	1.4
2	2	4.3852	100.0	0.45	0.51	10883	1.4
2	3	4.3852	100.0	0.45	0.51	10883	1.4
2	5	4.3852	100.0	0.45	0.51	10883	1.4
2	10	4.3852	100.0	0.45	0.51	10883	1.4
2	20	4.3852	100.0	0.45	0.51	10883	1.4
2	50	4.3852	100.0	0.45	0.51	10883	1.4
2	100	4.3852	100.0	0.45	0.51	10883	1.4
3	1	3.7857	100.0	1.79	2.06	64889	2.2
3	2	3.7857	100.0	1.55	1.76	43736	2.2
3	3	3.7857	100.0	1.46	1.64	37033	2.2
3	5	3.7857	100.0	1.35	1.52	31116	2.2
3	10	3.7857	100.0	1.24	1.39	26003	2.2
3	20	3.7857	100.0	1.14	1.28	22449	2.2
3	50	3.7857	100.0	0.99	1.11	18528	2.2
3	100	3.7857	100.0	0.85	0.96	15849	2.2
4	1	3.4649	100.0	5.02	5.97	235723	3.5
4	2	3.4649	100.0	3.88	4.49	136326	3.5
4	3	3.4649	100.0	3.46	3.98	106932	3.5
4	5	3.4649	100.0	3.04	3.47	82034	3.5
4	10	3.4649	100.0	2.55	2.89	59266	3.5
4	20	3.4649	100.0	2.1	2.37	43340	3.5
4	50	3.4649	100.0	1.53	1.72	28461	3.5
4	100	3.4649	100.0	1.18	1.33	21348	3.5
5	1	3.2986	100.0	10.93	13.67	608818	5.3
5	2	3.2986	100.0	7.49	8.97	308168	5.3
5	3	3.2986	100.0	6.32	7.45	225390	5.3
5	5	3.2986	100.0	5.15	5.98	156489	5.3
5	10	3.2986	100.0	3.89	4.46	98744	5.3
5	20	3.2986	100.0	2.91	3.33	64073	5.3
5	50	3.2986	100.0	1.94	2.21	37425	5.3
5	100	3.2986	100.0	1.39	1.59	25934	5.3
6	1	3.2377	100.0	19.76	26.04	1233568	7.3
6	2	3.2377	100.0	11.74	14.57	532613	7.3
6	3	3.2377	100.0	9.31	11.29	360435	7.3
6	5	3.2377	100.0	7.17	8.5	232522	7.3
6	10	3.2377	100.0	5.09	5.95	136566	7.3
6	20	3.2377	100.0	3.58	4.16	82910	7.3
6	50	3.2377	100.0	2.22	2.57	44831	7.3
6	100	3.2377	100.0	1.55	1.79	29852	7.3
7	1	3.2283	100.0	31.26	43.39	2107152	9.4
7	2	3.2283	100.0	16.04	20.63	777180	9.4
7	3	3.2283	100.0	12.07	15.06	494756	9.4
7	5	3.2283	100.0	8.82	10.71	300820	9.4
7	10	3.2283	100.0	6.0	7.16	168475	9.4
7	20	3.2283	100.0	4.11	4.86	99252	9.4
7	50	3.2283	100.0	2.44	2.87	51386	9.4
7	100	3.2283	100.0	1.67	1.96	33310	9.4
8	1	3.219	100.0	44.9	65.55	3193907	12.1
8	2	3.219	100.0	19.87	26.46	1006805	12.1
8	3	3.219	100.0	14.39	18.49	614045	12.1
8	5	3.219	100.0	10.21	12.72	362026	12.1
8	10	3.219	100.0	6.77	8.26	197170	12.1
8	20	3.219	100.0	4.54	5.48	113976	12.1
8	50	3.219	100.0	2.63	3.14	57361	12.1
8	100	3.219	100.0	1.77	2.11	36459	12.1
9	1	3.2155	100.0	60.16	92.1	4437166	15.4
9	2	3.2155	100.0	23.35	32.17	1220333	15.4
9	3	3.2155	100.0	16.45	21.78	723376	15.4
9	5	3.2155	100.0	11.42	14.62	417736	15.4
9	10	3.2155	100.0	7.43	9.28	223321	15.4
9	20	3.2155	100.0	4.92	6.08	127658	15.4
9	50	3.2155	100.0	2.79	3.41	63012	15.4
9	100	3.2155	100.0	1.86	2.26	39411	15.4
11	1	3.2248	100.0	94.1	157.61	7258231	23.6
11	2	3.2248	100.0	29.33	43.35	1598449	23.6
11	3	3.2248	100.0	19.94	28.15	915650	23.6
11	5	3.2248	100.0	13.5	18.34	518409	23.6
11	10	3.2248	100.0	8.59	11.33	272246	23.6
11	20	3.2248	100.0	5.61	7.29	153875	23.6
11	50	3.2248	100.0	3.09	3.95	73613	23.6
11	100	3.2248	100.0	2.03	2.55	44796	23.6
